"filename", "language", "HTML", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-pdf\insert-pdf.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-pdf\insert-pdf.component.ts", "TypeScript", 0, 97, 0, 0, 1, 15, 113
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.css", "CSS", 0, 0, 104, 0, 23, 30, 157
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.html", "HTML", 136, 0, 0, 0, 130, 10, 276
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.ts", "TypeScript", 0, 172, 0, 0, 26, 42, 240
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.css", "CSS", 0, 0, 22, 0, 0, 7, 29
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.html", "HTML", 47, 0, 0, 0, 16, 6, 69
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.ts", "TypeScript", 0, 25, 0, 0, 0, 7, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.css", "CSS", 0, 0, 50, 0, 0, 10, 60
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.html", "HTML", 39, 0, 0, 0, 1, 1, 41
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.ts", "TypeScript", 0, 125, 0, 0, 3, 13, 141
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.css", "CSS", 0, 0, 7, 0, 0, 5, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.html", "HTML", 9, 0, 0, 0, 0, 3, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.ts", "TypeScript", 0, 47, 0, 0, 0, 9, 56
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.css", "CSS", 0, 0, 6, 0, 0, 2, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.html", "HTML", 14, 0, 0, 0, 0, 1, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.css", "CSS", 0, 0, 4, 0, 0, 0, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.html", "HTML", 15, 0, 0, 0, 8, 4, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.css", "CSS", 0, 0, 52, 0, 0, 10, 62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.html", "HTML", 23, 0, 0, 0, 21, 3, 47
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.ts", "TypeScript", 0, 65, 0, 0, 24, 24, 113
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.service.ts", "TypeScript", 0, 23, 0, 0, 0, 8, 31
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.css", "CSS", 0, 0, 52, 0, 0, 10, 62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.html", "HTML", 23, 0, 0, 0, 10, 3, 36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.ts", "TypeScript", 0, 53, 0, 0, 0, 17, 70
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.service.ts", "TypeScript", 0, 17, 0, 0, 0, 7, 24
