"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-pdf\insert-pdf.component.html", "HTML", 0, 0, 65, 0, 0, 52, 7, 124
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-pdf\insert-pdf.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-pdf\insert-pdf.component.ts", "TypeScript", 97, 0, 0, 0, 0, 1, 15, 113
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.css", "CSS", 0, 104, 0, 0, 0, 23, 30, 157
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.html", "HTML", 0, 0, 136, 0, 0, 130, 10, 276
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\insert-products\insert-products.component.ts", "TypeScript", 162, 0, 0, 0, 0, 26, 42, 230
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.css", "CSS", 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.html", "HTML", 0, 0, 47, 0, 0, 16, 6, 69
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\offer-popup\offer-popup.component.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 7, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.css", "CSS", 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.html", "HTML", 0, 0, 39, 0, 0, 1, 1, 41
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\pop-up-login\pop-up-login.component.ts", "TypeScript", 125, 0, 0, 0, 0, 3, 13, 141
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.css", "CSS", 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.html", "HTML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\searchbar\searchbar.component.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 9, 56
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.css", "CSS", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.html", "HTML", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.html", "HTML", 0, 0, 15, 0, 0, 8, 4, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.css", "CSS", 0, 52, 0, 0, 0, 0, 10, 62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.html", "HTML", 0, 0, 23, 0, 0, 21, 3, 47
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.ts", "TypeScript", 65, 0, 0, 0, 0, 24, 24, 113
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.service.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 8, 31
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.css", "CSS", 0, 52, 0, 0, 0, 0, 10, 62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.html", "HTML", 0, 0, 23, 0, 0, 10, 3, 36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 17, 70
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.service.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 7, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.css", "CSS", 0, 53, 0, 0, 0, 3, 12, 68
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.html", "HTML", 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\image\image.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.css", "CSS", 0, 53, 0, 0, 0, 3, 12, 68
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.html", "HTML", 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\pdf-component\pdf-component.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app-routing.module.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 9, 176
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.css", "CSS", 0, 61, 0, 0, 0, 0, 16, 77
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.html", "HTML", 0, 0, 77, 0, 0, 7, 11, 95
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.spec.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.ts", "TypeScript", 206, 0, 0, 0, 0, 9, 79, 294
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.module.ts", "TypeScript", 147, 0, 0, 0, 0, 2, 39, 188
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.css", "CSS", 0, 141, 0, 0, 0, 0, 29, 170
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.html", "HTML", 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-item\cart-item.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 11, 33
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.ts", "TypeScript", 184, 0, 0, 0, 0, 4, 49, 237
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.css", "CSS", 0, 339, 0, 0, 0, 2, 65, 406
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.html", "HTML", 0, 0, 157, 0, 0, 74, 20, 251
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.ts", "TypeScript", 193, 0, 0, 0, 0, 11, 72, 276
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.css", "CSS", 0, 81, 0, 0, 0, 0, 15, 96
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.html", "HTML", 0, 0, 37, 0, 0, 48, 3, 88
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\favorite\favorite.component.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 13, 80
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.css", "CSS", 0, 42, 0, 0, 0, 0, 9, 51
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.html", "HTML", 0, 0, 36, 0, 0, 0, 4, 40
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-nav\checkout-nav.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.css", "CSS", 0, 152, 0, 0, 0, 11, 44, 207
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.html", "HTML", 0, 0, 144, 0, 0, 112, 12, 268
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\checkout-page\checkout-page.component.ts", "TypeScript", 278, 0, 0, 0, 0, 10, 60, 348
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.css", "CSS", 0, 81, 0, 0, 0, 0, 20, 101
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.html", "HTML", 0, 0, 586, 0, 0, 0, 4, 590
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.css", "CSS", 0, 614, 0, 0, 0, 6, 141, 761
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.html", "HTML", 0, 0, 158, 0, 0, 60, 54, 272
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", 95, 0, 0, 0, 0, 0, 32, 127
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.css", "CSS", 0, 67, 0, 0, 0, 0, 18, 85
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.html", "HTML", 0, 0, 42, 0, 0, 49, 15, 106
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.ts", "TypeScript", 89, 0, 0, 0, 0, 8, 26, 123
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.css", "CSS", 0, 111, 0, 0, 0, 6, 27, 144
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.html", "HTML", 0, 0, 178, 0, 0, 0, 22, 200
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 12, 72
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.css", "CSS", 0, 333, 0, 0, 0, 26, 92, 451
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.html", "HTML", 0, 0, 337, 0, 0, 89, 30, 456
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 295, 0, 0, 0, 0, 28, 111, 434
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\next.directive.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 13, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.css", "CSS", 0, 105, 0, 0, 0, 0, 14, 119
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.html", "HTML", 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\order-completed\order-completed.component.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 9, 32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\categories.model.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.css", "CSS", 0, 189, 0, 0, 0, 1, 30, 220
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.html", "HTML", 0, 0, 96, 0, 0, 135, 21, 252
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.ts", "TypeScript", 132, 0, 0, 0, 0, 2, 24, 158
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.css", "CSS", 0, 13, 0, 0, 0, 0, 7, 20
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.html", "HTML", 0, 0, 5, 0, 0, 0, 10, 15
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\porducts.component.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 15, 65
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\PerlaProfilLogo-dark 1.svg", "XML", 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 1058, 0, 0, 0, 39, 258, 1355
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.html", "HTML", 0, 0, 397, 0, 0, 71, 33, 501
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 795, 0, 0, 0, 0, 62, 178, 1035
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.css", "CSS", 0, 347, 0, 0, 0, 16, 57, 420
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.html", "HTML", 0, 0, 227, 0, 0, 4, 39, 270
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.ts", "TypeScript", 493, 0, 0, 0, 0, 3, 119, 615
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.spec.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\safe-pipe.pipe.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.css", "CSS", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.html", "HTML", 0, 0, 31, 0, 0, 126, 4, 161
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 19, 109
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products.service.ts", "TypeScript", 91, 0, 0, 0, 0, 1, 35, 127
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.css", "CSS", 0, 627, 0, 0, 0, 6, 113, 746
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.html", "HTML", 0, 0, 29, 0, 0, 120, 19, 168
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
