"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-categories\update-categories.component.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.html", "HTML", 0, 15, 0, 0, 0, 0, 8, 4, 27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\update-colors\update-colors.component.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.css", "CSS", 0, 0, 52, 0, 0, 0, 0, 9, 61
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.html", "HTML", 0, 5, 0, 0, 0, 0, 21, -8, 18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-image\upload-image.component.ts", "TypeScript", -25, 0, 0, 0, 0, 0, 24, 6, 5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\components\upload-pdf\upload-pdf.component.css", "CSS", 0, 0, 52, 0, 0, 0, 0, 10, 62
