"filename", "language", "TypeScript", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\footer\footer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.css", "CSS", 0, 0, 18, 0, 0, 16, 11, 45
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.html", "HTML", 0, -7, 0, 0, 0, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", -14, 0, 0, 0, 0, 2, -1, -13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\log-in\log-in.component.ts", "TypeScript", -8, 0, 0, 0, 0, 8, 1, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\my-orders\my-orders.component.html", "HTML", 0, -8, 0, 0, 0, 0, 1, -7
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 2, 0, 0, 0, 0, -6, 0, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.css", "CSS", 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.html", "HTML", 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\page-not-found\page-not-found.component.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 9, 28
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\mosqui-wizzard\mosqui-wizzard.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 0, 21, 0, 0, 45, -2, 64
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.html", "HTML", 0, -52, 0, 0, 0, -2, 9, -45
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 54, 0, 0, 0, 0, 2, 7, 63
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.css", "CSS", 0, 0, 183, 0, 0, 2, 14, 199
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.html", "HTML", 0, 80, 0, 0, 0, 0, 4, 84
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-page\product-page.component.ts", "TypeScript", 44, 0, 0, 0, 0, 2, -46, 0
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products-carousel\products-carousel.component.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\products.service.ts", "TypeScript", -1, 0, 0, 0, 0, 1, 0, 0
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.ts", "TypeScript", 1, 0, 0, 0, 0, 0, -1, 0
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\shared\contatc-form\contatc-form.component.css", "CSS", 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Arrow 1.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 102.svg", "XML", 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 4 (1).svg", "XML", 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Frame 4.svg", "XML", 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Image.svg", "XML", 0, 0, 0, 0, -24, 0, -1, -25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 1.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 7.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 8.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\LogoSmall.svg", "XML", 0, 0, 0, 0, -24, 0, -1, -25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-dark 1.svg", "XML", 0, 0, 0, 0, -8, 0, -1, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white 1.svg", "XML", 0, 0, 0, 0, -8, 0, -1, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white.svg", "XML", 0, 0, 0, 0, -127, -1, -1, -129
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Rectangle1.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Vector.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bi_cart-check-fill.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bx_search-alt.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_home.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_image-add.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_offer.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\bxs_shopping-bag.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\carbon_collapse-categories.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\cart-with-products.svg", "XML", 0, 0, 0, 0, -6, 0, -1, -7
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-down.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right-white.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\clarity_color-palette-solid.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-dark3 1.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-dark3.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white-with-green 1.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white.svg", "XML", 0, 0, 0, 0, -34, -1, -1, -36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\credit-card.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\css\demo.css", "CSS", 0, 0, -158, 0, 0, -18, -31, -207
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\down lines.svg", "XML", 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\entypo_upload.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\equalizer.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\fa6-solid_file-pdf.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\facebook-f.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\footerHr.svg", "XML", 0, 0, 0, 0, -59, 0, -1, -60
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\footerLines.svg", "XML", 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\heart-alt-filled-green.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\heart-alt-filled.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\heart-alt-green.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\heart-alt.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\i18n\el.json", "JSON", 0, 0, 0, -172, 0, 0, -3, -175
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\i18n\en.json", "JSON", 0, 0, 0, -170, 0, 0, -3, -173
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\incoming-call.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\instagram.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\location-pin-alt.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mail.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mailSmall.svg", "XML", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\map.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\message.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-dark2 1.svg", "XML", 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-dark2.svg", "XML", 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white.svg", "XML", 0, 0, 0, 0, -52, -1, -1, -54
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-dark2 1.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-dark2.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -10, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white.svg", "XML", 0, 0, 0, 0, -30, -1, -1, -32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\phone.svg", "XML", 0, 0, 0, 0, -3, 0, -1, -4
